District,Upazilla,Union/Area,POP,Router,Vendor,Port,Description
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/4,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/5,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/6,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/7,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/8,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/1,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/2,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/3,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/4,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/5,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/6,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/7,
Barisal,Uzirpur,Uzirpur,Uzirpur BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/8,
,,,,,,,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/1,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/2,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/3,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/4,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/5,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/6,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/7,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/8,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/1,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/2,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/3,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/4,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/5,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/6,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/7,
Pirojpur,Nesarabad,Nesarabad,Nesarabad BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/8,
,,,,,,,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/1,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/2,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/3,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/4,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/5,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/6,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/7,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/8,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/1,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/2,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/3,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/4,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/5,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/6,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/7,
Jhalokathi,Nalchithi,Nalchithi,Nalchithi BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/8,
,,,,,,,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/0,To-Bhola-AR-NE40-128_GE1/0/0
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/1,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/2,To-Barguna-AR-NE40E-113_GE1/0/0
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/3,<<To Chanmari_S3552_GE1/7/3>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/4,<<Brsl_Goura_Info_Router>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/5,<<Mehendigonj_InfoS_Router>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/6,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/7,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/8,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/9,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/10,**Patulakhali_Old_Link_GE1/0/11**
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/0/11,***Bsrl_union_router***
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/0,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/1,<<To_BSL_Union_Router:GE1/0/1>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/2,To-Patua-AR-NE40-127_GE1/1/0
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/3,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/4,<<To_Khalishpur_STM-1>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/5,To-Patua-AR-NE40-127
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/6,To-BAR-AR-NE40-113_GE1/1/6
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/7,<<FiberHome_MSPP>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/8,***BBank_VPN***
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/9,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/10,**Brsl_to_Faridpur-GE1/1/1**
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,GE1/1/11,**Bsrl-Mdpr-GE1/1/3**
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-AR-NE40-144,Huawei,10GE2/0/0,**Khln-DBR-10G-10GE_6/0/2**
,,,,,,,
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/0,Bari-AR-NE40E-113_GE1/1/3
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/1,
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/2,To_Jhalokathi-Switch_GE-1/0/10
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/3,
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/4,To Jhalokathi-DSLAM1
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/5,
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/6,
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/7,**FiberHome_MSPP**
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/8,
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/9,
Jhalokathi,Sadar,Jhalokathi,Jhalokathi BTCL Office,Jhalokathi-AR-NE40E-X3-118,Huawei,GE1/1/10,To_Jhalokathi-DC Office_GE0/16
,,,,,,,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/1,To_Jhalokathi-AR-NE40E-X3_GE1/1/7
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/2,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/3,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/4,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/5,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/6,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/7,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/8,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/1,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/2,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/3,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/4,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/5,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/6,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/7,
Jhalokathi,Pathorghata,Barguna,Pathorghata BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/8,
,,,,,,,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/1,To_Jhalokathi-AR-NE40E-X3_GE1/1/7
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/2,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/3,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/4,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/5,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/6,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/7,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/8,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/1,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/2,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/3,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/4,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/5,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/6,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/7,
Jhalokathi,Kathalia,Kathalia,Kathalia BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/8,
,,,,,,,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/1,To_Jhalokathi-AR-NE40E-X3_GE1/1/7
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/2,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/3,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/4,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/5,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/6,
Jhalokathi,Mathbaria,Pirojpur,Mathbaria BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/7,
