District,Upazilla,Union/Area,POP,Switch,Vendor,Port,Description
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/5,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/6,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/7,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/8,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/9,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/10,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/11,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/12,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/13,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/14,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/15,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/16,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/17,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/18,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/19,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/20,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/21,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/22,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/23,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/24,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/25,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/26,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/27,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/28,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/29,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/30,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/31,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/32,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/33,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/34,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/35,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/36,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/37,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/38,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/39,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/40,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/41,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/42,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/43,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/44,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/45,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/46,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/47,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/0,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/1,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/2,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/3,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/4,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/5,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/6,<<GPO_Barisal>>
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/7,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/8,Barisal_DistHQ_ME3400_GE0/16
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/9,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/10,<<Amrita_Food_BSL>>
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/11,***DC_Off_Barishal***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/12,<<Bracnet_Barisal_Internet>>
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/13,***Open_Uni_barishal***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/14,***dis_cont_Bijoy_Online_mpls_gul
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/15,<<HRC_VPN_BSL_GUL>>
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/16,***RanksITT_Bsrl_VPN***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/17,***Maxne_BAR_POP***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/18,***Tomatoweb_MPLS***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/19,***Metro_net_MPLS_br***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/20,***DhakaCom-MPLS_nation***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/21,<<WBDN Telecom>>
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/22,***Aamra_VPN_bsrl***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/23,**Access_Tel_Ltd_5M_Barisal**
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/24,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/25,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/26,**Heramon_Online_Brisal**
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/27,*Radiant comm Barisal*
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/28,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/29,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/30,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/31,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/32,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/33,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/34,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/35,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/36,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/37,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/38,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/39,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/40,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/41,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/42,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/43,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/44,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/45,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/46,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE3/0/47,
,,,,,,,
,,,,,,,
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/1,*** Cab_VC_MPLS***
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/2,
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/3,
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/4,
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/5,***Min_Finance_VPN***
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/6,
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/7,
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/8,**SB_DSB_PASS_VPN**
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/9,**SB_DSB_PASS_VPN**
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/10,
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/11,
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/12,***BCC_Division_VPN***
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/13,***Infosar_VPN***
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/14,***Infosar_VPN***
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/15,**DG_Health**
Barisal,Barisal Sadar,Barisal,Barisal DC Office,Barisal_DistHQ_ME3400,Cisco,GE0/16,***Link_to_Barisal_S9312_GE-3/0/8***
,,,,,,,
,,,,,,,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/1/1,<<BSL_MEDICAL_COLLEGE>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/1/2,<<Square_VPN>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/1/3,<<BSL_Metro_Police_Comm>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/1/4,<<Rahat_anwar_medical>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/1/5,Barisal_DivCommHQ_ME3400_GE0/16
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/1/6,<<BSL_EDU_BOARD>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/1/7,*MS IP link networks
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/1/8,<<BSL_MEDICAL_COLL_HOSPITAL>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/2/1,<<OPEN_UNIV_BSL>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/2/2,<<Barisal_University_180.193.226>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/2/3,***BRRI_Bar***
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/2/4,*WDBN telecom*
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/2/5,<<SASEC_Babugonj>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/2/6,<<SASEC_Gouranadi>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/2/7,<<DC_Barisal_BANGLO>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/2/8,<Bracnet_VPN_BSL>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/3/1,<<Patuakhali_Univ_BSL>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/3/2,<<Technical School Barisal>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/3/3,<<InfoS_Babugonj>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/3/4,Agailjhara_INFO_SARKAR_MR_AR22000
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/3/5,Barisal District_INFO_SARKAR_MR_AR22000
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/3/6,**Uzirpur_Up_MR**
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/3/7,Barisal Sadar_INFO_SARKAR_MR_AR22000
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/3/8,<<Union_Converter>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/6/1,<<PBS-1 Rupatoli:BSL>>
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/6/2,**Always_ON**
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/6/3,***RAB-8_Internet_6Mbps**
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/6/4,**RAB_RAB_8_Bar**
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/6/5,***SB_DSB_Passport_MRP_VPN***
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/6/6,**Computer_Complx_net_BSL**
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/6/7,*WDBN telecom*
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,Eth1/6/8,*Global univ*
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,GE1/7/1,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,GE1/7/2,
Barisal,Chandmari,Chandmari,Chandmari BTCL Office,Chandmari-S3552,Huawei,GE1/7/3,<<To-Chand-NE40X3:G1/0/3>>
